incident_id,name_of_covered_entity,state,business_associate_involved,individuals_affected,date_of_breach,type_of_breach,location_of_breached_information,date_posted_or_updated,information_breached,entity,organization_type,method
320,Yanez Dental Corporation,CA,MedAssets,101900,5/22/11,Theft,"Desktop Computer, Network Server",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
321,Jackson Health System,FL,MedAssets,15620,10/1/08,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
322,The Mount Sinai Hospital,NY,MedAssets,7120,6/7/11,Theft,Laptop,6/2/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
323,Troy Regional Medical Center,AL,MedAssets,8800,3/22/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
324,Lansing Community College,MI,AssureCare Risk Management,50000,5/9/11,Hacking/IT Incident,Network Server,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
325,Dr Axel Velez,PR,MedAssets,28000,6/19/11,Theft,Desktop Computer,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
326," DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,MedAssets,75000,7/11/10,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
327,Beth Israel Deaconess Medical Center,MA,MedAssets,20210,4/17/11,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
328,"Gypsum Management and Supply, Inc. Medical and Dental Plan",GA,"Assurecare Risk Management, Inc.",253300,5/9/11,Unauthorized Access/Disclosure,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
329,"Andersen Air Force Base, Guam",VA,MedAssets,7000,5/13/11,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
330,Molina Medicare,CA,"RxAmerica, a subsidiary of CVS Caremark",45730,1/1/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
331,Windsor Health Plan,TN,RxAmerica LLC,13780,3/1/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
332,Health Care Service Corporation,IL,MedAssets,5010,6/28/11,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
333,University of Kentucky - UK HealthCare,KY,MedAssets,36040,6/7/11,Theft,Laptop,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
334,"Austin Center for Therapy and Assessment, LLC",TX,MedAssets,18700,7/8/11,Theft,Laptop,4/24/14,"Personal Information, Health Information, Contact Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
335,Treatment Services Northwest,OR,MedAssets,12000,7/8/11,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
336,Mills-Peninsula Health Services,CA,MedAssets,15000,11/1/09,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
337,Brigham and Women's Hospital and Faulkner Hospital ,MA,MedAssets,6380,6/21/11,Theft,Other Portable Electronic Device,6/30/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
338,"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ",IN,"AssureCare Risk Management, Inc.",5060,5/9/11,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
339,Monmouth Medical Center,NJ,MedAssets,64430,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
340,Clara Maass Medical Center,NJ,Med Assets,87950,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
341,Newark Beth Israel Medical Center,NJ,MedAssets,150150,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
342,Saint Barnabas Medical Center,NJ,MedAssets,61790,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
343,Washington State Department of Social and Health Services,WA,MedAssets,39500,7/1/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
344,St. Francis Hospital,DE,MedAssets,9480,6/1/11,Loss,"Other Portable Electronic Device, Other",6/10/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
345,"Reznick Group, P.C.",MD,Assure Care Risk Management,24590,5/9/11,Hacking/IT Incident,Network Server,3/25/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
346,The Neurological Institute of Savannah & Center for Spine,GA,MedAssets,634250,7/2/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
347,Kimball Medical Center,NJ,MedAssets,67850,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
348,Community Medical Center,NJ,MedAssets,69500,6/24/11,Theft,"Other Portable Electronic Device, Other",6/19/14,"Personal Information, Health Information, Login Credentials, Technical Safeguards",Facebook,web,hacked
349,American Health Medicare ,PR,Accuprint ,58480,6/1/11,Theft,Other,6/3/14,"Personal Information, Health Information, Administrative Actions",Facebook,web,hacked
350,Texas Health Presbtyerian Hospital Flower Mound,TX,Texas Health Partners,103450,6/21/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
351,Capron Rescue Squad District,IL,MedAssets,8150,2/5/11,Unauthorized Access/Disclosure,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
352,Cook County Health & Hospitals System,IL,MedAssets,320080,6/24/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
353,Lexington VAMC,KY,MedAssets,14320,5/23/11,Theft,"Laptop, Other Portable Electronic Device, Paper",6/3/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
354,"Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC",PA,"SpaMed Solutions, LLC, Edward McMenamin President,",30000,8/14/11,"Theft, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record, Paper",6/10/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
355,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,MedAssets,20000,7/1/11,Theft,"Desktop Computer, Network Server",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
356,Stanford Hospital & Clinics,CA,"Multi-Speciality Collection Services, LLC",196510,9/9/10,Unauthorized Access/Disclosure,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
357,"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,MedAssets,18000,7/27/11,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
358,NEA Baptist Clinic,AR,MedAssets,31160,7/12/11,Hacking/IT Incident,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
359,Jonathan Noel MD,IN,MedAssets,20590,7/13/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
360,Texas Health and Human Services Commission,TX,MedAssets,16960,3/10/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Financial Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
361,University of Wisconsin Oshkosh,WI,Living Healthy Community Clinic,30000,7/18/11,Hacking/IT Incident,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
362,Centro de Ortodoncia Inc.,PR,MedAssets,20000,5/6/10,Theft,Paper,6/20/14,"Personal Information, Health Information, Financial Information, Login Credentials",Facebook,web,hacked
363,"John T. Melvin, M.D.& Associates",TX,MedAssets,25410,8/9/11,Theft,Paper,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
364,"Diversified Resources, Inc.",GA,MedAssets,8630,8/11/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
365,VA Gulf Coast Veterans Health Care System,MS,MedAssets,17970,7/21/11,Theft,Paper,6/20/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
366,Freda J Bowman  MD PA,TX,MedAssets,13000,9/20/11,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
367,"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,MedAssets,23670,8/12/11,Theft,"Laptop, Desktop Computer",2/14/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
368,United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits,PA,"Benefits Administration Services, Inc.",40000,8/15/11,Loss,"Other Portable Electronic Device, Other",3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
369,VA Illiana Health Care System,IL,MedAssets,5180,7/14/11,Loss,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
370,Health Texas Provider Network,TX,MedAssets,12590,7/27/11,Theft,Laptop,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
371,Blue Cross of Northeastern Pennsylvania,PA,"AllOne Health Management Solutions, Inc.",5070,9/9/11,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
372,NYU Hospital for Joint Diseases Inventory Management Department,NY,MedAssets,26000,6/23/11,Theft,Paper,6/20/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
373,WAYNE HIGHLANDS SCHOOL DISTRICT,PA,FIRST PRIORITY LIFE INSURANCE COMPANY,5790,9/9/11,"Theft, Unauthorized Access/Disclosure",Paper,6/10/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
374,"Summit Medical Group, PLLC",TN,MedAssets,7310,9/4/11,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
375,MAPFRE Life,PR,MedAssets,22090,8/5/11,Theft,Other,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
376,American Continental Insurance Company,TN,Futurity First Insurance Group,6900,7/28/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
377,United of Omaha Life Insurance Company,NE,Futurity First Insurance Group,16310,7/28/11,Loss,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
378,Mutual of Omaha Insurance Company,NE,Futurity First Insurance Group,7050,7/28/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
379,Henry Ford Health System,MI,MedAssets,5200,8/8/11,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
380,Indiana University,IN,MedAssets,32660,8/16/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
381,"Adult & Pediatric Dermatology, PC",MA,MedAssets,22000,9/14/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
382,The Nemours Foundation,FL,MedAssets,10554890,8/10/11,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
383,"California Industrial Medicine, Inc.",CA,"Thomas J O'Laughlin, MD",7000,9/28/11,"Theft, Unauthorized Access/Disclosure",Paper,2/14/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
384,"InStep Foot Clinic, P.A.",MN,MedAssets,26000,8/28/11,Theft,"Laptop, Electronic Medical Record",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
385,North Memorial,MN,"Accretive Health, Inc",66970,7/25/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
386,"Lahey Clinic Hospital, Inc.",MA,MedAssets,5990,8/12/11,Theft,Laptop,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
387,UnitedHealth Group health plan single affiliated covered entity,MN,Futurity First Insurance Group,39940,7/28/11,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
388,Good Samaritan Hospital,MD,MedAssets,15000,9/9/11,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
389,"Amerigroup Community Care of New Mexico, Inc",NM,MedAssets,15370,7/15/11,Theft,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
390,Florida Hospital,FL,MedAssets,127840,8/10/11,Unauthorized Access/Disclosure,Electronic Medical Record,2/19/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
391,"Thomas Jefferson University Hospitals, Inc.",PA,MedAssets,31500,9/6/11,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
392,Lankenau Medical Center,PA,MedAssets,5000,9/6/11,Theft,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
393,"Spectrum Health Ssytems, Inc.  ",MA,MedAssets,147500,8/24/11,Theft,Desktop Computer,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
394,Conway Regional Medical Center,AR,MedAssets,14720,8/24/11,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
395,Concordia Plan Services,MO,"HITS Scanning Solutions, Inc.",70590,5/10/11,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
396,Stone Oak Urgent Care & Family Practice,TX,Stone Oak Urgent Care & Family Practice,66720,10/23/11,"Theft, Loss",Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
397,Indiana University School of Optometry,IN,MedAssets,7570,8/12/11,Unauthorized Access/Disclosure,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
398,"Brevard Emergency Services, P.A.",FL,MedAssets,22000,8/26/11,Theft,Paper,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
399,Georgetown University Hospital,DC,MedAssets,15260,9/9/11,Loss,"Other Portable Electronic Device, Other",3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
400,Morris Heights Health Center,NY,MedAssets,9270,8/27/11,Theft,Laptop,6/3/14,"Personal Information, Health Information, Administrative Actions",Facebook,web,hacked
401,network180,MI,Thresholds Inc.,11000,9/16/11,Theft,Paper,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
402,Premier Imaging,NC,MedAssets,5510,9/14/11,Unknown,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
403,"The Good Samaritan Hospital of Cincinnati, Ohio",OH,"Pitney Bowes Management Services, Inc.",10890,9/3/11,Theft,Desktop Computer,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
404,"Bethesda Hospital, Inc.",OH,"Pitney Bowes Management Services, Inc.",9460,9/3/11,Theft,Desktop Computer,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
405,"Julie A. Kennedy, D.M.D., P.A.",FL,MedAssets,29000,9/30/11,Theft,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
406,"KCI USA, Inc.",TX,MedAssets,5670,9/8/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
407,Lebanon Internal Medicine Associates,PA,MedAssets,550000,9/10/11,Improper Disposal,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
408,St. Joseph Medical Center,MD,MedAssets,50000,9/11/11,Theft,"Other, Paper",3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
409,TRICARE Management Activity (TMA),VA,Science Applications International Corporation (SA,49000000,9/13/11,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
410,UCLA Health System,CA,MedAssets,27610,9/6/11,Theft,"Other Portable Electronic Device, Other",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
411,Logan County Emergeny Ambulance Service Authority,WV,MedAssets,125630,10/1/11,"Theft, Loss",Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
412,Lawrence Memorial Hospital,KS,"Mid Continent Credit Services, Inc.",82750,,"Unauthorized Access/Disclosure, Other",Other,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
413,Sutter Medical Foundation,AL,MedAssets,9434340,10/15/11,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
414,Medcenter One,ND,MedAssets,6500,10/21/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
415,Dallas County Hospital District dba Parkland Health & Hospital System,TX,MedAssets,24640,9/5/11,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
416,University of Kentucky UK HealthCare,KY,MedAssets,8780,9/25/11,Loss,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
417,State of Tennessee Sponsored Group Health Plan,TN,MedAssets,17700,10/6/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
418,Cleveland Clinic Florida,FL,MedAssets,7720,10/3/11,Loss,Other,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
419,"Jay C. Platt, DDS",IN,MedAssets,107050,10/6/11,Theft,Other,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
420,Rite Aid Corporation ,PA,MedAssets,29000,10/7/11,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
421,Advanced Occupational Medicine Specialists,IL,Blue Vantage Group,72260,10/12/11,Unauthorized Access/Disclosure,Network Server,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
422,Open MRI of Chicago,IL,Nation Wise Machine Buyers,20000,9/6/11,Improper Disposal,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
423,University of Nebraska Medical Center,NE,MedAssets,6110,11/15/11,Theft,Paper,4/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
424,Roberts S. Smith M.D. Inc.,GA,MedAssets,170000,10/17/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
425,"Paul C. Brown, MD, PS",WA,MedAssets,46930,,Theft,Other,2/14/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
426,Molina Healthcare of California,CA,MedAssets,110810,9/23/09,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
427,Aegis Sciences Corporation,TN,MedAssets,21850,11/22/11,Theft,"Laptop, Other Portable Electronic Device",4/23/14,"Personal Information, Health Information, Financial Information, Login Credentials, Technical Safeguards, Administrative Actions",Facebook,web,hacked
428,"Soundpath Health, Inc",WA,MedAssets,75810,11/22/11,Theft,Laptop,2/14/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
429,Concentra Health,TX,MedAssets,8700,11/30/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
430,Sleep HealthCenters LLC,MA,MedAssets,29880,11/23/11,Theft,Laptop,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
431,Smile Designs,FL,MedAssets,16700,12/1/11,Theft,"Desktop Computer, Network Server",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
432,PBH,NC,Alamance Caswell Local Management Entity,500000,11/15/11,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
433,"CardioNet, Inc",PA,MedAssets,13000,11/10/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
434,"MDwise, Inc.",IN,RightNow Technologies,27000,2/10/11,Unauthorized Access/Disclosure,Other,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
435,Ford Motor Company,MI,"WageWorks, Inc.",17000,1/3/12,Other,Paper,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
436,Foundation Medical Partners,NH,MedAssets,7710,,Theft,Paper,6/2/14,"Personal Information, Health Information, Contact Information, Administrative Actions",Facebook,web,hacked
437,Kansas Department on Aging,KS,MedAssets,77570,1/11/12,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
438,Delta Dental of California,CA,MedAssets,116460,,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
439,Muskogee Regional Medical Center,OK,MedAssets,8440,12/5/11,Loss,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
440,Department of Medical Assistance Services,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",14440,,"Unauthorized Access/Disclosure, Other",Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
441,"Oldendorf Medical Services, PLLC",NY,MedAssets,5490,1/17/12,Theft,Laptop,6/2/14,"Personal Information, Health Information, Technical Safeguards",Facebook,web,hacked
442,St.Vincent Physician Network,IN,MedAssets,14230,,"Theft, Unauthorized Access/Disclosure",Paper,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
443,Flex Physical Therapy,WA,MedAssets,31000,12/30/11,Theft,Desktop Computer,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
444,Metro Community Provider Network,CO,MedAssets,32000,12/5/11,"Hacking/IT Incident, Other",E-mail,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
445,University of Miami ,FL,MedAssets,12190,11/24/11,Theft,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
446,UnitedHealth Group health plan single affiliated covered entity,MN,MedAssets,66780,12/15/11,Other,Paper,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
447,"Triumph, LLC",NC,MedAssets,20000,12/13/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
448,Fairview Health Services,MN,Accretive Health,140000,7/25/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
449,Loma Linda University Medical Center (LLUMC),CA,MedAssets,13660,12/19/11,Other,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
450,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",17000,12/29/11,Other,Other,3/24/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
451,"Medco Health Solutions, Inc.",NJ,MedAssets,12870,11/30/11,Theft,Paper,6/20/14,"Personal Information, Health Information",Facebook,web,hacked
452,Lakeview Medical Center,WI,MedAssets,6980,1/4/12,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
453,"Goshen Health System, Inc.",IN,MedAssets,6600,12/22/11,Hacking/IT Incident,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
454,Georgetown University Hospital,DC,MedAssets,15490,11/1/11,Unauthorized Access/Disclosure,Paper,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
455,Motion Picture Industry Health Plans (MPI),CA,MedAssets,7030,,Other,Other,2/14/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
456,Ochsner Health System,LA,MedAssets,20880,1/19/12,Loss,Other Portable Electronic Device,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
457,Applegate Valley Family Medicine,OR,Dr. Trandinh,23000,,"Theft, Unauthorized Access/Disclosure",Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
458,"CardioNet, Inc.",PA,MedAssets,7280,12/29/11,Theft,Laptop,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
459,Presbyterian Healthcare Services,NM,"Beth Barrett Consulting, LLC",70000,12/29/11,Theft,Laptop,3/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
460,"Alliant Health Plans, Inc.",GA,"Catalyst Health Solutions, Inc.",6320,1/1/12,Unauthorized Access/Disclosure,Other,1/23/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
461,"FIRST MEDICAL CENTER, INC.",PR,"T&P CONSULTING, INC. D/B/A QUANTUM",77060,1/11/12,Theft,Laptop,6/13/14,"Personal Information, Health Information, Technical Safeguards, Administrative Actions",Facebook,web,hacked
